#Starting log sesion
cogX , cogY
NaN,NaN
NaN,NaN
52.47018,77.34827
52.97294,74.81321
52.97294,74.81321
52.97294,74.81321
52.97294,74.81321
52.97294,74.81321
52.97294,74.81321
52.97294,74.81321
52.97294,74.81321
52.97294,74.81321
53.28858,75.39621
42.38123,65.57581
50.80933,78.06925
56.25139,82.65645
55.82648,79.30867
55.82648,79.30867
48.20488,70.51641
51.23961,74.70468
56.78069,77.41266
56.78069,77.41266
48.89416,71.88958
55.23283,78.91441
49.39462,68.55638
54.55624,76.91969
58.53907,84.89629
67.16479,96.74142
63.34328,87.86692
50.66633,70.38392
52.16794,76.42697
56.98647,84.36854
51.33072,72.38814
52.25496,75.60217
51.28514,73.54733
54.42356,76.85774
54.34077,72.17613
53.3245,79.22719
47.71471,73.88791
51.63469,69.09924
58.24627,76.17746
53.05501,76.90657
69.51324,88.09116
55.07322,70.66911
60.19661,82.71621
43.30208,61.61038
48.727,68.18864
48.62337,74.3898
50.0914,72.13457
50.84828,64.87315
50.84828,64.87315
52.56898,70.23076
45.85532,73.59686
61.10554,80.58584
50.82522,71.38168
50.08754,72.88857
50.28564,71.90314
53.61167,79.2707
47.50846,64.93562
50.04754,73.27392
55.40699,75.43668
53.22379,75.79926
52.46112,76.18684
49.4187,67.83066
50.29974,66.61557
51.29294,73.1628
53.035,77.30576
63.45013,93.40749
54.14082,73.199
49.81161,66.13273
60.93857,84.93649
66.78947,93.37608
43.20124,64.60403
56.87273,75.45177
56.87273,75.45177
60.17808,84.56342
60.17808,84.56342
51.21627,75.85526
51.21627,75.85526
53.97577,75.41393
57.65457,84.97779
47.16956,68.21066
50.02729,69.65112
55.26019,77.72604
47.76056,70.91824
57.34996,78.06117
44.48346,63.61346
52.08033,80.05919
58.0926,79.3027
52.74427,73.17463
52.71683,73.94614
57.8747,81.82456
57.16406,82.19997
42.02876,66.47974
71.67076,94.50542
48.71429,69.98991
56.7301,75.66775
56.7301,75.66775
51.83214,71.69505
55.65096,79.6768
55.65096,79.6768
47.98248,70.35596
54.16045,72.81159
60.06058,86.90726
60.06058,86.90726
49.79976,70.57625
54.62539,76.60485
52.20297,76.41908
45.43058,69.07755
50.53917,74.31099
49.15354,70.19593
58.88219,77.26244
52.15106,73.6754
48.06546,67.02645
54.04789,75.89511
58.36359,87.33248
57.06544,72.45234
73.30582,98.66392
55.39798,75.82714
47.40961,68.1692
44.28435,65.9427
57.63806,75.06343
58.28075,76.16969
44.92443,60.17906
49.81262,74.68753
60.12908,85.45116
45.72368,71.25985
57.48392,76.88451
57.48392,76.88451
47.36577,68.89907
68.65846,87.62174
53.99832,75.40885
53.99832,75.40885
63.45589,90.50835
53.90879,70.25096
48.96109,70.01965
53.48267,79.2467
57.20477,80.53034
51.67775,71.91672
58.0143,80.5445
53.23786,74.6302
42.40518,61.98924
42.40518,61.98924
58.132,77.24888
58.52324,84.03987
49.92364,72.36647
64.20646,88.76575
51.23405,69.47897
57.90997,81.39353
69.23972,102.224
51.72521,71.1646
56.06332,75.74633
52.06223,79.26199
40.86732,61.80746
49.59444,68.74624
57.25409,80.53326
57.25409,80.53326
52.42631,74.10375
50.99234,71.90751
65.31128,87.72536
52.18487,75.61798
60.35165,79.73421
42.89725,57.05628
57.37008,77.23798
50.29601,67.32616
49.22863,62.39325
51.32291,72.77306
48.18904,72.99563
45.56033,65.95627
55.04729,71.80672
49.88222,65.06693
66.94478,90.56554
66.94478,90.56554
57.21302,79.69683
57.21302,79.69683
56.75551,76.06474
56.75551,76.06474
52.39587,76.0894
55.18732,77.66855
56.08629,75.74114
49.8103,70.57387
50.06571,68.20332
58.78366,79.7378
58.74455,80.12442
54.86417,79.66813
55.00188,73.32331
47.67994,65.18439
63.42212,94.37858
55.71046,80.51609
54.57804,74.93811
56.8707,74.15677
47.43514,66.72155
53.53371,73.69701
57.79987,82.28667
44.90307,65.60957
44.90307,65.60957
74.90159,99.27637
48.00969,69.99062
48.00969,69.99062
60.88409,86.9234
60.88409,86.9234
55.60963,80.9332
48.94431,68.02867
48.91182,71.51501
66.03856,94.11597
62.6963,82.34557
53.5555,73.69209
57.07294,71.68374
51.68082,72.28643
47.76452,71.28204
52.25299,71.3929
57.16077,71.07639
68.66407,95.11372
57.86233,81.8273
57.91576,82.6025
46.99914,66.58138
53.44518,73.56894
58.00384,80.5364
54.22198,72.03117
54.22198,72.03117
49.77119,68.23684
54.3274,71.80231
50.70856,69.29631
53.85777,75.32045
52.32629,72.67495
45.95716,65.03304
65.19394,88.94179
51.55538,71.38359
47.26781,66.07742
54.95201,71.65267
47.23032,66.45145
#Ending log sesion
