#Starting log sesion
#3/1/2018 12:47:56 PM
cogX , cogY
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
43.01707,70.86282
46.46611,74.75265
48.44061,73.51099
45.03096,70.52582
61.78357,85.1349
52.87724,77.65215
51.13222,73.41944
51.83602,72.65381
43.35588,71.83056
56.31429,80.52667
46.90488,75.95945
46.90488,75.95945
49.55854,76.15123
49.55854,76.15123
46.29254,72.33865
46.29254,72.33865
48.70216,73.27238
48.14911,72.26445
48.14911,72.26445
47.95525,72.87003
41.42347,63.07355
41.42347,63.07355
41.63298,68.67515
57.60327,84.98918
52.10758,77.64667
48.41703,71.2958
51.54274,69.87636
45.30785,65.37644
48.45782,71.97491
47.84362,77.6414
49.08618,73.91743
56.4016,79.69361
52.25854,82.18584
45.72083,70.16592
45.72083,70.16592
50.75565,78.47539
58.4073,85.08868
54.60345,83.07085
42.99422,65.58822
50.63157,76.81777
60.5457,96.16207
60.5457,96.16207
44.39029,69.77926
54.88067,78.41523
44.67077,69.59351
44.67077,69.59351
41.73364,64.00553
50.61048,72.38107
64.3476,96.69933
56.87757,83.19977
53.26095,80.48928
53.2294,75.02093
59.2804,84.56786
55.0071,78.04163
49.15105,76.79392
56.77074,84.97932
63.38325,91.70591
48.89793,74.18459
42.29984,64.69299
49.89705,76.80453
44.03054,68.14078
46.98087,65.87514
46.98087,65.87514
52.31562,76.10749
52.31562,76.10749
44.65998,65.01945
49.81134,78.83184
52.86749,83.09959
49.46303,73.67294
59.06825,89.05188
48.54612,81.26826
47.33468,68.90614
53.18156,76.19703
57.52396,86.42726
52.01215,84.38998
46.43847,69.43414
61.58765,94.67529
54.41674,83.16228
46.84456,70.37759
48.04615,68.54398
51.89736,78.42204
47.52061,71.50153
52.42126,81.3233
47.69261,73.89291
57.12188,80.96435
57.12188,80.96435
71.08837,103.3037
52.88889,77.64951
60.11267,84.13913
52.86255,77.25364
47.30528,69.99133
43.68481,70.508
51.25781,82.64512
44.39124,66.19206
47.63622,75.81549
67.97559,97.76656
42.70478,68.12373
44.29057,64.90789
60.69186,92.402
52.09511,82.21861
47.03391,72.34072
53.99852,86.96513
47.74643,72.73248
52.72234,77.60022
55.81056,85.96335
57.78912,82.72018
44.00429,68.50678
46.44667,68.33502
46.44667,68.33502
55.05914,76.80161
54.19417,77.13274
54.83043,80.09164
51.42262,75.20798
51.42262,75.20798
56.85403,83.64433
56.85403,83.64433
45.33924,69.24136
51.2942,72.01308
48.14792,74.57037
61.6706,88.91026
43.70583,70.50323
49.42881,74.8692
53.34571,78.80603
58.31583,86.56532
62.42556,93.59618
40.387,66.95064
47.68597,65.8716
51.15301,78.81633
55.51236,80.51775
53.30331,79.64813
56.45297,88.54553
51.89379,83.13909
52.69767,84.47225
56.9804,81.84649
68.48214,96.50524
49.87757,77.21097
45.97973,69.97392
54.4324,84.42435
54.4324,84.42435
58.44717,84.55803
49.14148,73.9049
48.50926,67.98622
56.6641,86.86595
56.6641,86.86595
55.86847,84.60841
44.39773,65.12418
50.85255,76.48113
52.73111,77.18881
49.58982,71.89637
49.58982,71.89637
45.13372,73.21722
45.51894,69.6066
56.0786,84.87007
48.65835,72.50143
52.19334,75.21315
57.60327,84.98918
50.78498,71.76787
48.64642,75.66137
47.99345,71.35433
48.65448,72.12566
59.81011,91.4133
60.76001,90.48355
54.26097,78.43638
46.32771,71.56381
48.43568,71.97993
47.67468,74.27933
47.67468,74.27933
48.93845,72.61721
48.93845,72.61721
55.89712,77.28583
58.89133,93.33401
50.62716,77.62263
50.62716,77.62263
52.21144,76.01469
42.99634,70.13763
48.85747,75.74866
47.02721,72.72538
46.27052,68.00915
47.30347,70.96629
45.2777,65.38335
51.31637,72.00805
46.5092,72.86342
44.78399,70.72293
57.01611,81.40692
41.98847,61.83409
45.06839,70.15227
43.98576,65.7185
43.98576,65.7185
43.98576,65.7185
43.98576,65.7185
43.98576,65.7185
43.98576,65.7185
43.98576,65.7185
44.48407,71.69115
44.48407,71.69115
44.48407,71.69115
44.48407,71.69115
44.48407,71.69115
44.48407,71.69115
44.48407,71.69115
44.48407,71.69115
44.48407,71.69115
48.63348,73.25982
48.63348,73.25982
48.63348,73.25982
48.63348,73.25982
48.63348,73.25982
51.07924,73.82088
51.07812,74.98827
49.75275,80.00806
43.87356,63.27722
60.70048,92.13748
#Ending log sesion
