#Starting log sesion
#3/1/2018 1:02:03 PM
cogX , cogY , weight, bl, br, tl, tr, falls
-10.67221,-16.22617,2.62099,-2.585253,0.7391304,10.49121,1.838873,0
-10.67221,-16.22617,2.62099,-2.585253,0.7391304,10.49121,1.838873,0
-11.27718,-16.25076,2.496385,-2.624424,0.8558353,10.29836,1.455775,0
-11.26036,-16.12229,2.5734,-2.546083,0.7780321,10.45264,1.609014,0
-10.70828,-16.12172,2.63078,-2.585253,0.7780321,10.52978,1.800563,0
-11.22212,-15.89362,2.602569,-2.35023,0.6613272,10.33693,1.762254,0
-11.83059,-16.86874,2.466832,-2.585253,0.583524,10.29836,1.570704,0
-10.8337,-16.8349,2.581656,-2.702765,0.6224256,10.52978,1.877183,0
-11.89702,-17.21102,2.485516,-2.781106,0.6224256,10.56835,1.532394,0
-11.89702,-17.21102,2.485516,-2.781106,0.6224256,10.56835,1.532394,0
-10.90705,-16.50576,2.563027,-2.702765,0.7780321,10.49121,1.685634,0
-11.84178,-16.6831,2.515126,-2.624424,0.6613272,10.49121,1.532394,0
-10.82335,-16.19971,2.582693,-2.663594,0.8558353,10.49121,1.647324,0
-10.04721,-15.95996,2.621169,-2.663594,0.9336385,10.41407,1.800563,0
-11.78757,-16.62996,2.543989,-2.624424,0.6613272,10.56835,1.570704,0
-11.46594,-16.63148,2.543855,-2.702765,0.7391304,10.56835,1.570704,0
-11.25253,-17.19921,2.446893,-2.859447,0.7391304,10.3755,1.532394,0
-11.40731,-16.33086,2.611525,-2.585253,0.7002288,10.64549,1.685634,0
-11.78321,-16.53859,2.544135,-2.663594,0.7391304,10.60692,1.494084,0
-11.24994,-16.06152,2.611906,-2.546083,0.7780321,10.56835,1.647324,0
-10.97868,-15.92655,2.583206,-2.585253,0.8947368,10.45264,1.570704,0
-12.358,-16.21249,2.573709,-2.546083,0.7391304,10.72263,1.379155,0
-11.29359,-15.83453,2.583489,-2.506912,0.8558353,10.45264,1.532394,0
-11.01695,-16.1209,2.630913,-2.546083,0.7391304,10.56835,1.762254,0
-10.62289,-15.91645,2.650292,-2.663594,0.9336385,10.64549,1.685634,0
-10.66855,-16.3817,2.58233,-2.702765,0.8169336,10.49121,1.723944,0
-10.43598,-16.25885,2.601635,-2.663594,0.8169336,10.45264,1.800563,0
-10.70818,-16.18357,2.592273,-2.624424,0.8169336,10.45264,1.723944,0
-11.36561,-16.77591,2.514785,-2.585253,0.583524,10.33693,1.723944,0
-11.21815,-15.864,2.564201,-2.546083,0.8947368,10.41407,1.494084,0
-10.51252,-16.38181,2.582265,-2.702765,0.8169336,10.45264,1.762254,0
-10.51252,-16.38181,2.582265,-2.702765,0.8169336,10.45264,1.762254,0
-10.74495,-16.14001,2.563556,-2.663594,0.8947368,10.41407,1.609014,0
-10.74495,-16.14001,2.563556,-2.663594,0.8947368,10.41407,1.609014,0
-11.17868,-16.2729,2.592322,-2.585253,0.7391304,10.52978,1.685634,0
-11.17868,-16.2729,2.592322,-2.585253,0.7391304,10.52978,1.685634,0
-11.82885,-16.33434,2.554086,-2.428571,0.583524,10.41407,1.647324,0
-10.16173,-16.48944,2.572344,-2.702765,0.7780321,10.33693,1.877183,0
-11.17177,-15.85215,2.631428,-2.428571,0.7391304,10.49121,1.723944,0
-10.20062,-16.35443,2.543783,-2.585253,0.7391304,10.14407,1.877183,0
-10.20062,-16.35443,2.543783,-2.585253,0.7391304,10.14407,1.877183,0
-10.27949,-16.85321,2.523817,-2.702765,0.6613272,10.22121,1.915493,0
-12.28324,-16.26777,2.592793,-2.31106,0.4668192,10.52978,1.685634,0
-10.98507,-16.49387,2.620676,-2.585253,0.6224256,10.56835,1.877183,0
-11.79138,-16.81402,2.543694,-2.624424,0.583524,10.56835,1.647324,0
-11.12095,-16.7398,2.53394,-2.585253,0.583524,10.33693,1.800563,0
-11.43741,-16.18288,2.534966,-2.428571,0.6613272,10.25978,1.647324,0
-10.91133,-16.0749,2.602139,-2.428571,0.6613272,10.33693,1.838873,0
-11.30661,-17.07885,2.456698,-2.585253,0.5057208,10.14407,1.762254,0
-10.1774,-15.7365,2.650405,-2.428571,0.7780321,10.29836,1.953803,0
-10.39743,-16.68484,2.514538,-2.663594,0.7002288,10.18264,1.838873,0
-11.0432,-16.30885,2.5154,-2.467742,0.6613272,10.14407,1.723944,0
-11.0299,-16.36205,2.592113,-2.506912,0.6224256,10.41407,1.838873,0
-10.51136,-15.86917,2.621516,-2.585253,0.8947368,10.45264,1.723944,0
-11.66813,-16.42737,2.553869,-2.506912,0.6224256,10.45264,1.647324,0
-11.66813,-16.42737,2.553869,-2.506912,0.6224256,10.45264,1.647324,0
-11.34257,-16.96405,2.466489,-2.585253,0.5446224,10.18264,1.723944,0
-11.32488,-16.99723,2.543206,-2.546083,0.4279176,10.3755,1.915493,0
-10.31973,-16.55627,2.533908,-2.624424,0.7002288,10.18264,1.877183,0
-10.31973,-16.55627,2.533908,-2.624424,0.7002288,10.18264,1.877183,0
-11.89596,-16.75344,2.524636,-2.35023,0.3501144,10.25978,1.838873,0
-10.29519,-15.74882,2.640831,-2.35023,0.7002288,10.22121,1.992113,0
-11.36182,-16.51735,2.553596,-2.389401,0.4668192,10.25978,1.877183,0
-11.36182,-16.51735,2.553596,-2.389401,0.4668192,10.25978,1.877183,0
-11.14303,-15.74218,2.583578,-2.389401,0.7780321,10.29836,1.647324,0
-11.46531,-16.01244,2.583268,-2.31106,0.583524,10.29836,1.762254,0
-9.646044,-15.53521,2.669723,-2.467742,0.8947368,10.25978,1.992113,0
-10.59445,-15.9283,2.640658,-2.506912,0.7780321,10.45264,1.838873,0
-10.22375,-15.66923,2.698555,-2.389401,0.7391304,10.41407,2.030422,0
-11.81444,-15.90583,2.593193,-2.232719,0.5446224,10.33693,1.723944,0
-10.76229,-15.95484,2.679095,-2.232719,0.4668192,10.33693,2.145352,0
