Task,Timestamp, weight, cogX , cogY , bl, br, tl, tr, accX, accY, accZ, falls
1,5.643133,0,0,0,0,0,0,0,0.2592593,-0.7037037,0.7777778,0
1,5.643133,0,0,0,0,0,0,0,0.2592593,-0.7037037,0.7777778,0
1,5.663133,0,0,0,0,0,0,0,0.1851852,-0.6296296,0.8518519,0
1,5.6797,0,0,0,0,0,0,0,0.1111111,-0.6296296,0.7407407,0
1,5.696266,0,0,0,0,0,0,0,0.1851852,-0.6666667,0.7777778,0
1,5.712839,0,0,0,0,0,0,0,0.1851852,-0.6296296,0.7777778,0
1,5.729401,0,0,0,0,0,0,0,0.2222222,-0.6296296,0.8148148,0
1,5.746073,0,0,0,0,0,0,0,0.2592593,-0.5925926,0.8518519,0
1,5.762533,0,0,0,0,0,0,0,0.2222222,-0.5925926,0.8888889,0
1,5.779189,0,0,0,0,0,0,0,0.2592593,-0.5925926,0.8888889,0
1,5.795696,0,0,0,0,0,0,0,0.2592593,-0.5925926,0.8518519,0
1,5.812233,0,0,0,0,0,0,0,0.2592593,-0.5555556,0.8148148,0
1,5.828817,0,0,0,0,0,0,0,0.2592593,-0.5555556,0.8148148,0
1,5.845372,0,0,0,0,0,0,0,0.2592593,-0.5555556,0.8148148,0
1,5.861938,0,0,0,0,0,0,0,0.2222222,-0.5925926,0.8148148,0
1,5.878514,0,0,0,0,0,0,0,0.2222222,-0.5925926,0.8518519,0
1,5.895074,0,0,0,0,0,0,0,0.1851852,-0.5925926,0.8148148,0
1,5.911984,0,0,0,0,0,0,0,0.1851852,-0.6296296,0.8518519,0
1,5.928585,0,0,0,0,0,0,0,0.1851852,-0.6296296,0.8888889,0
1,5.944784,0,0,0,0,0,0,0,0.1111111,-0.7037037,0.962963,0
1,5.961338,0,0,0,0,0,0,0,-0.03703704,-0.7777778,1,0
1,5.9779,0,0,0,0,0,0,0,-0.1481481,-0.8518519,1.037037,0
1,6.000164,0,0,0,0,0,0,0,-0.4814815,-1,1.148148,0
1,6.016728,0,0,0,0,0,0,0,-0.5185185,-1,1.111111,0
1,6.033931,0,0,0,0,0,0,0,-0.4444444,-0.8148148,0.8888889,0
1,6.04987,0,0,0,0,0,0,0,-0.4444444,-0.8148148,0.8888889,0
